time,full_law_boundary_fraction,full_law_transfer_efficiency,full_law_edge_bulk_ratio,full_law_coherence,principal_branch_boundary_fraction,principal_branch_transfer_efficiency,principal_branch_edge_bulk_ratio,principal_branch_coherence,no_topology_feedback_boundary_fraction,no_topology_feedback_transfer_efficiency,no_topology_feedback_edge_bulk_ratio,no_topology_feedback_coherence,fixed_ruler_boundary_fraction,fixed_ruler_transfer_efficiency,fixed_ruler_edge_bulk_ratio,fixed_ruler_coherence
11.28,0.4866793853724016,0.32390197164819995,1.0,0.9999403152755276,0.8409342938056911,1.0463506280319597,7.767021342511033,0.3510283667265068,0.483215585342571,0.3217309857840056,1.0000000000000002,0.9999999999999998,0.4869238757878777,0.32405631702481136,1.0,0.9999606497191664
11.309999999999999,0.4784366958446294,0.31878308508455855,1.000317181781665,0.999940315275528,0.8496934098300426,1.1061761096272782,7.629411172124247,0.4491171269809978,0.4784422809457578,0.31878649877340487,1.0000000000000002,0.9999999999999999,0.47843859868873134,0.3187842481202274,1.0014799767496205,0.9999606497191663
11.34,0.47851573187611296,0.3188313997730147,1.0144621076702278,0.9999392474828436,0.8515592583271753,1.1200803586121073,7.813951532247241,0.5191427665532342,0.47844228094575786,0.31878649877340487,1.0072616706747894,1.0,0.47880755883169485,0.3190099203911017,1.0139765722714038,0.9999597446447768
11.37,0.48202058550958304,0.3209887391550403,1.0,0.9999390948707851,0.8568304645964214,1.161319401483434,7.675024201763541,0.5597945176528218,0.4802480500939114,0.31989405560784656,1.0000000000000002,0.9999999999999999,0.48190296874352206,0.3209158692963773,1.0,0.9999594892215689
11.4,0.47843658164190084,0.3187830152830793,1.0000000000000002,0.9999390948707853,0.8536721126115072,1.136253397304361,7.819530217927263,0.5429950713886279,0.47844228094575786,0.31878649877340487,1.0000000000000002,1.0,0.478438490092772,0.3187841817451584,1.0,0.9999594892215691
11.43,0.4784365816419008,0.31878301528307934,1.0481775605456944,0.9999390948707854,0.8528053562680142,1.1295625638952174,7.762252870959276,0.4871999635212453,0.4784422809457578,0.31878649877340487,1.0071395481617191,1.0,0.47843849009277195,0.3187841817451584,1.0455042927627058,0.9999594892215689
11.459999999999999,0.49018768456821704,0.3261309194241948,1.0500483143894732,0.9999388474138492,0.8450453678223133,1.0729950878453776,7.807444615398236,0.3756789273382805,0.4802177851097967,0.3198754293674058,1.0336129178792934,0.9999999999999999,0.4895514524151482,0.32572442404277124,1.0467707683213894,0.9999593260720203
11.49,0.490633449389337,0.3264163282143568,1.0083219363119236,0.9999402826852823,0.8374274748646079,1.0227162248176764,7.845129982953648,0.2512630990133082,0.486697136039838,0.3239131725913165,1.0,0.9999999999999998,0.48985406250498037,0.3259176383565108,1.0116109587578688,0.9999602149552757
11.52,0.4805051659259825,0.32005238216065784,1.0228385581108865,0.9999412852366951,0.8297760620651413,0.9767460510117653,7.804347529495777,0.13959923070016067,0.47844228094575786,0.31878649877340487,1.0000000000000002,1.0,0.48131994135448203,0.3205551406771472,1.0372467536966117,0.9999607248955311
11.549999999999999,0.48407419896261406,0.322266416665401,1.032880201094412,0.9999411905029091,0.8323190636542822,0.9915591049822468,7.8864798240902765,0.18222348241224134,0.47844228094575786,0.3187864987734048,1.0127747553751216,0.9999999999999999,0.48757022744985995,0.3244650644284652,1.0584803222155583,0.9999604856521875
11.58,0.48651457764089495,0.3242458003220666,0.993139269155389,0.9999423535145144,0.8421020002053876,1.0551746682663161,7.7527392476974875,0.29916547335728694,0.4816106677835873,0.3211899613333019,0.9930811269153534,1.0,0.4926343535018927,0.327703620284755,1.0036945602749123,0.9999611467539583
11.61,0.47671925588968156,0.3199317850338837,0.9854179802967098,0.9999423535145147,0.8454001195313046,1.0842189069320745,7.8004419496236235,0.3837377618822911,0.4767100439267955,0.31994488379456354,0.9853545074662862,1.0,0.4793590534748655,0.3193478351544105,1.0,0.99996234890847
11.639999999999999,0.4747725976323044,0.32124356640930324,1.00886745222605,0.9999423535145144,0.8489153155421384,1.1185544600677093,7.683007796768047,0.42728317894815415,0.47476192575605264,0.3212577322096167,0.9773893919090899,1.0000000000000002,0.4784387576937978,0.31878434530595834,1.0217625173187195,0.99996234890847
11.67,0.4806402578736299,0.3275219022364079,0.9935307206855541,0.9999421318068185,0.845441831159189,1.1025513823525612,7.684472477270806,0.403007848574592,0.4727384333830371,0.32263283210628974,0.982539041983478,0.9999999999999999,0.48381330966035413,0.32210353788111784,1.0,0.9999623463477064
11.7,0.47681764512318237,0.32725804294173233,0.9679387709500267,0.9999432343603842,0.8410772399944162,1.079276572413981,7.684600386930255,0.3353942150399422,0.4740484498330328,0.32554872229361576,0.9679217286497194,1.0,0.4784387574541692,0.31878434515949455,1.0,0.9999623463477063
11.73,0.47031193695108,0.3242904993350504,1.00087594021115,0.999943234360384,0.8324211133931506,1.026595869327631,7.675227692942374,0.21240807787330507,0.47031285380500537,0.32429677048779115,0.9692743791160308,1.0,0.4784387574541692,0.31878434515949455,1.0246672492151923,0.9999623463477062
11.76,0.4786553493793188,0.32902934532192035,1.0354914192304532,0.9999421034204482,0.8237866232247172,0.974456783229615,7.8024950710470025,0.10395653679344473,0.4706607633006864,0.3240570523411579,1.0079832521190624,1.0,0.4845222254634898,0.32254651389197514,1.054267404681225,0.9999614902671732
11.79,0.4871453598040769,0.33218902090712166,1.0010446726051807,0.9999422924530658,0.8292083240429238,0.997710323818969,7.856409155180318,0.14219355070028736,0.48042680394095355,0.32787480929900026,1.0018553557732077,1.0,0.49163759560564363,0.32706108423503005,1.0208434019402004,0.9999613578521449
11.82,0.47869753043960706,0.32266143085725546,1.0,0.9999433331462021,0.838616856936467,1.0413383896196158,8.011590322268088,0.2560836111879619,0.4789048470288688,0.3227555786302045,1.0,0.9999999999999999,0.48358849626899325,0.3219633140708479,1.0195073033432145,0.9999616364602941
11.85,0.4784369782499588,0.31878325769273513,1.021633577795054,0.9999433331462019,0.8483055109549799,1.0960553690002586,7.9974611177117705,0.3624420152379711,0.4784422809457578,0.31878649877340487,1.0000000000000002,0.9999999999999999,0.4832613715037701,0.3217594930911151,1.0624804550005318,0.999960935084136
11.879999999999999,0.48378002201535797,0.3220827675338275,1.0,0.9999434417306525,0.8508335061552569,1.1146307383117753,8.003447989621208,0.4066360780300311,0.4784422809457578,0.31878649877340487,1.0000000000000002,0.9999999999999999,0.49357710447882985,0.3283136695358879,1.040436458563314,0.9999603919178692
11.91,0.47843698841103366,0.31878326390326106,1.0,0.9999434417306525,0.8514336356831358,1.1191332569122565,8.082998919265215,0.4149211519903254,0.47844228094575786,0.3187864987734048,1.0000000000000004,0.9999999999999999,0.48833744012225183,0.3249515837259442,1.0,0.9999609851299737
11.94,0.47843698841103366,0.31878326390326106,1.0266180263087092,0.9999434417306525,0.8495602562453864,1.1051970378036902,8.006884391948816,0.36428991445039915,0.47844228094575797,0.31878649877340476,1.0000000000000002,0.9999999999999998,0.47843863007548176,0.31878426730416665,1.010852495915475,0.9999609851299737
11.969999999999999,0.4849954761974761,0.322842910073735,1.0559109265208455,0.9999421796465144,0.8444483836756876,1.068877091054424,8.136952867120813,0.30428774919151297,0.47844228094575786,0.31878649877340487,1.029363578445913,1.0,0.4811326573141341,0.3204394369953746,1.0119465699570178,0.9999603111667736
12.0,0.49202510890338064,0.3273105857783833,1.021601492380754,0.9999420457523026,0.8430106910817798,1.0590884201685165,8.040775729042231,0.25174921808400264,0.4856680165163105,0.32326505934822464,1.0166972919663608,1.0,0.48140273116995114,0.32060631468545664,1.0,0.9999605007502125
12.03,0.4837720909646394,0.3220778192256864,1.0190507329321419,0.9999425053350735,0.8416947068884981,1.0502842697018133,8.144634969390031,0.25555190189335364,0.48257582253295905,0.3213331854330209,1.0000000000000002,0.9999999999999998,0.47843858474865625,0.3187842395998956,1.0,0.9999605007502127
12.059999999999999,0.4831476995181121,0.32168872811541516,1.0553193718943092,0.9999415570554893,0.8470407413103294,1.0869924487727187,8.113974070298667,0.30984081378370054,0.47844228094575786,0.31878649877340487,1.0087242774469178,1.0,0.47843858474865625,0.3187842395998956,1.0396322121972765,0.9999605007502127
12.09,0.49188494787574266,0.32722029876982556,1.023741545012233,0.9999409771207007,0.848908631770532,1.100430561413883,8.129261882838675,0.3462659518745132,0.4806102466025501,0.32011713376700834,1.013365543251507,1.0,0.4881441868808119,0.3248288969355305,1.0275108038762584,0.9999605785915565
12.12,0.4842946674904606,0.3224041883694686,1.0,0.9999420500747882,0.8503349645414119,1.1109178483544342,8.171545357992459,0.3650358895822469,0.48175626359024987,0.32082502398849416,1.0,1.0,0.48521441122159514,0.3229802131021112,0.9956030504846828,0.9999615556854115
12.15,0.47843685818315296,0.31878318430701347,1.0124279957870836,0.9999420500747881,0.8491449509105335,1.1068855124054662,8.035047685934625,0.33577255330851963,0.47844228094575786,0.31878649877340487,1.0,1.0000000000000002,0.4773391771878393,0.3195185898427166,1.0255712193641275,0.9999615556854117
12.18,0.4815196455669055,0.32067860960197697,1.0199042213814327,0.9999409602471543,0.8441709828695739,1.0794826225920642,8.09210577455779,0.2932390845217356,0.47844228094575786,0.3187864987734048,1.0109804778617695,0.9999999999999999,0.4847424224119375,0.32647500984225086,1.035689872809254,0.9999609597855296
12.209999999999999,0.4833567115061915,0.3218188697471825,1.0000000000000002,0.999941036335993,0.8418265152908321,1.0725687023162982,7.943523646270348,0.24524984820954288,0.4811679778794268,0.32046125157422517,1.0000000000000002,0.9999999999999999,0.48719502429175887,0.33076082411558155,0.9775080552199481,0.9999613737287519
12.24,0.4784367633198211,0.3187831263258659,1.0027675749309133,0.9999410363359928,0.8383117451292492,1.057315841631733,7.987886249964966,0.23071824187418533,0.4784422809457578,0.31878649877340487,1.0,0.9999999999999999,0.472765152584295,0.324085149880795,0.9685009586493094,0.9999621178683226
12.27,0.4791262996453867,0.3192051337058304,1.05113276354237,0.9999393552670265,0.8407032222139377,1.0785090274484992,7.972256110607542,0.2539708441287727,0.47844228094575797,0.31878649877340487,1.017303980915735,1.0,0.47045835199236885,0.32419187007751243,0.9880918686170147,0.9999621178683223
12.299999999999999,0.49089119770369344,0.3265815841635688,1.0362243905316484,0.999937928214789,0.8409313625055809,1.080804000315949,8.001971890314666,0.2610193809939504,0.48272477978489836,0.3214257182016292,1.0369591594405443,1.0,0.4754502393362518,0.32746555788973086,0.9724003971519782,0.9999624034393997
12.33,0.48732175650320647,0.32430781152620713,1.0,0.9999381559003374,0.8409984485030734,1.0761852334575008,8.166291518089375,0.25482439477044755,0.4875046463640114,0.3244235444983934,1.0,1.0,0.471459534019106,0.3235034573574839,0.9825138381689791,0.9999624034393997
12.36,0.47843649377512615,0.3187829615783336,1.0197534448376522,0.9999381559003373,0.8398473117406015,1.0570085540126057,8.237978544580866,0.20006881229032591,0.47844228094575797,0.31878649877340476,1.0,0.9999999999999999,0.47403853890060904,0.32174343801888117,1.0236790989460658,0.9999624034393997
12.389999999999999,0.48331944597928983,0.32179565859736325,1.0169965187397036,0.999937348764699,0.8372491822599595,1.022625203434097,8.330613762353853,0.14865024495199067,0.47844228094575797,0.31878649877340476,1.0114835578492132,0.9999999999999998,0.4842812760149423,0.3228676647285849,1.040122093338544,0.9999617321023555
12.42,0.48264350490869873,0.321375223357741,1.0,0.999938102454102,0.8402502006134969,1.040787279884324,8.304249361527397,0.16874235193491938,0.48129217564657,0.320537981806608,1.0,0.9999999999999999,0.4882620174259406,0.32490369061374647,1.0017297421489597,0.9999618838630948
12.45,0.47843648877374484,0.31878295852145744,1.0,0.9999381024541021,0.8455838239679878,1.076736669939789,8.311053972406391,0.250258012164653,0.4784422809457578,0.31878649877340487,1.0,0.9999999999999999,0.4788700128531042,0.31904815164412736,1.012106648248397,0.9999621423481471
12.48,0.47843648877374484,0.31878295852145744,1.0356012158401349,0.9999381024541022,0.8519259622457576,1.1228542267584745,8.397099325062724,0.3457059041808609,0.47844228094575786,0.3187864987734048,1.0025227808003987,0.9999999999999999,0.48144230436502233,0.32063078142529844,1.0575163580006184,0.999961395758795
12.51,0.4871714814984632,0.32421277906183127,1.0179183476261835,0.9999383672879782,0.8560431499268775,1.1549680274407983,8.303983728221883,0.3919504918219334,0.4790710447995739,0.3191712756715062,1.0122858603293174,0.9999999999999999,0.4924066102529217,0.32755658864744297,1.0331663650712206,0.9999609971029139
12.54,0.48286990773321675,0.3215159234627753,1.0,0.999939908710688,0.8545796975939753,1.1433448866123161,8.452102681619236,0.3905621329642046,0.4814901209236079,0.32066034973472324,1.0,0.9999999999999998,0.4865855847107282,0.32384279485387324,1.0,0.9999616010373144
